TIME,2020,2021,2022,2023,2024,Unit of measure,Class
Croatia,60.3,60.9,61.1,60,59,Percentage,Upper secondary and post-secondary non-tertiary education (levels 3 and 4)
Italy,42.7,42.9,43.1,44.1,44.6,Percentage,Upper secondary and post-secondary non-tertiary education (levels 3 and 4)
Cyprus,38.5,38,37.6,36.3,35.8,Percentage,Upper secondary and post-secondary non-tertiary education (levels 3 and 4)
Latvia,52.2,51.6,50.6,50,48.8,Percentage,Upper secondary and post-secondary non-tertiary education (levels 3 and 4)
Lithuania,50.5,49.4,47.5,47.5,46.4,Percentage,Upper secondary and post-secondary non-tertiary education (levels 3 and 4)
Luxembourg,31.9,30.4,29.8,30.6,29,Percentage,Upper secondary and post-secondary non-tertiary education (levels 3 and 4)
Hungary,56.8,55.4,55.8,56.1,55.4,Percentage,Upper secondary and post-secondary non-tertiary education (levels 3 and 4)
Malta,34.9,36.4,39.1,39.7,37.3,Percentage,Upper secondary and post-secondary non-tertiary education (levels 3 and 4)
Netherlands,39.4,38.9,38.2,38,37.5,Percentage,Upper secondary and post-secondary non-tertiary education (levels 3 and 4)
Austria,50,49.8,48.8,47.9,47.4,Percentage,Upper secondary and post-secondary non-tertiary education (levels 3 and 4)
Poland,57.8,57.7,57.2,54.8,53.9,Percentage,Upper secondary and post-secondary non-tertiary education (levels 3 and 4)
Portugal,29.8,31.1,31.7,31.8,32.7,Percentage,Upper secondary and post-secondary non-tertiary education (levels 3 and 4)
Romania,60.1,62.1,62.2,61.6,61,Percentage,Upper secondary and post-secondary non-tertiary education (levels 3 and 4)
Slovenia,54,51.4,51.1,53.8,53.4,Percentage,Upper secondary and post-secondary non-tertiary education (levels 3 and 4)
Slovakia,62.6,62.1,61.2,61.5,61.5,Percentage,Upper secondary and post-secondary non-tertiary education (levels 3 and 4)
Finland,44.2,46.3,46,45.8,45.6,Percentage,Upper secondary and post-secondary non-tertiary education (levels 3 and 4)
Sweden,41.1,40.2,39.4,38.9,38.2,Percentage,Upper secondary and post-secondary non-tertiary education (levels 3 and 4)
Iceland,35.6,39.4,38.3,38.8,36.9,Percentage,Upper secondary and post-secondary non-tertiary education (levels 3 and 4)
Norway,37.7,34.7,33.9,33.9,33.3,Percentage,Upper secondary and post-secondary non-tertiary education (levels 3 and 4)
Switzerland,44.5,43.3,42.4,41.3,40.9,Percentage,Upper secondary and post-secondary non-tertiary education (levels 3 and 4)
United Kingdom,,,,,,Percentage,Upper secondary and post-secondary non-tertiary education (levels 3 and 4)
Montenegro,60.3,,,,,Percentage,Upper secondary and post-secondary non-tertiary education (levels 3 and 4)
Belgium,,13.2,13.8,13.9,14.3,Percentage,Upper secondary and post-secondary non-tertiary education (levels 3 and 4) - general
Bulgaria,,25.7,26.2,26.2,25.9,Percentage,Upper secondary and post-secondary non-tertiary education (levels 3 and 4) - general
Czechia,,21,6.6,6.2,5.9,Percentage,Upper secondary and post-secondary non-tertiary education (levels 3 and 4) - general
Denmark,,12.1,12.1,12,11.9,Percentage,Upper secondary and post-secondary non-tertiary education (levels 3 and 4) - general
Germany,,7.1,7.5,7.2,7,Percentage,Upper secondary and post-secondary non-tertiary education (levels 3 and 4) - general
Estonia,,20,19.2,18.7,18.5,Percentage,Upper secondary and post-secondary non-tertiary education (levels 3 and 4) - general
Ireland,,22.3,22,22.6,21.9,Percentage,Upper secondary and post-secondary non-tertiary education (levels 3 and 4) - general
Greece,,30.1,30,30.6,30.8,Percentage,Upper secondary and post-secondary non-tertiary education (levels 3 and 4) - general
Spain,,15.9,15.8,15.6,15.7,Percentage,Upper secondary and post-secondary non-tertiary education (levels 3 and 4) - general
France,,12.7,12.8,12.6,12.6,Percentage,Upper secondary and post-secondary non-tertiary education (levels 3 and 4) - general
Croatia,,5.4,5.4,5.4,5.5,Percentage,Upper secondary and post-secondary non-tertiary education (levels 3 and 4) - general
Italy,,11.5,11.9,12.5,13.1,Percentage,Upper secondary and post-secondary non-tertiary education (levels 3 and 4) - general
Cyprus,,25.8,25.7,24.9,24.7,Percentage,Upper secondary and post-secondary non-tertiary education (levels 3 and 4) - general
Latvia,,22.8,22.8,23.2,22.8,Percentage,Upper secondary and post-secondary non-tertiary education (levels 3 and 4) - general
Lithuania,,21.4,20.2,19.7,20.1,Percentage,Upper secondary and post-secondary non-tertiary education (levels 3 and 4) - general
Luxembourg,,,,,0.9,Percentage,Upper secondary and post-secondary non-tertiary education (levels 3 and 4) - general
Hungary,,14.2,14.3,14.4,14.3,Percentage,Upper secondary and post-secondary non-tertiary education (levels 3 and 4) - general
Malta,,22,24,23,21.2,Percentage,Upper secondary and post-secondary non-tertiary education (levels 3 and 4) - general
Netherlands,,11.7,11.5,11.2,10.8,Percentage,Upper secondary and post-secondary non-tertiary education (levels 3 and 4) - general
Austria,,7.3,6.9,7.5,7.7,Percentage,Upper secondary and post-secondary non-tertiary education (levels 3 and 4) - general
Poland,,11.1,11,12.1,12.5,Percentage,Upper secondary and post-secondary non-tertiary education (levels 3 and 4) - general
Portugal,,20.5,20.8,20.1,22,Percentage,Upper secondary and post-secondary non-tertiary education (levels 3 and 4) - general
Romania,,8.8,8.8,8.6,4.1,Percentage,Upper secondary and post-secondary non-tertiary education (levels 3 and 4) - general
Slovenia,,7.1,6.9,5.9,6.2,Percentage,Upper secondary and post-secondary non-tertiary education (levels 3 and 4) - general
Slovakia,,5.7,5.6,5.6,5.8,Percentage,Upper secondary and post-secondary non-tertiary education (levels 3 and 4) - general
Finland,,10.4,10.9,10.9,10.5,Percentage,Upper secondary and post-secondary non-tertiary education (levels 3 and 4) - general
Sweden,,16.9,16.6,16.5,16.5,Percentage,Upper secondary and post-secondary non-tertiary education (levels 3 and 4) - general
Iceland,,19.2,18.3,19.3,17.3,Percentage,Upper secondary and post-secondary non-tertiary education (levels 3 and 4) - general
Norway,,12,12.1,12.6,12.1,Percentage,Upper secondary and post-secondary non-tertiary education (levels 3 and 4) - general
Switzerland,,9.8,9,9,9.9,Percentage,Upper secondary and post-secondary non-tertiary education (levels 3 and 4) - general
United Kingdom,,,,,,Percentage,Upper secondary and post-secondary non-tertiary education (levels 3 and 4) - general
Montenegro,,,,,,Percentage,Upper secondary and post-secondary non-tertiary education (levels 3 and 4) - general
Belgium,,24.4,24.2,24.4,24.3,Percentage,Upper secondary and post-secondary non-tertiary education (levels 3 and 4) - vocational
Bulgaria,,27.7,28,28.4,27.5,Percentage,Upper secondary and post-secondary non-tertiary education (levels 3 and 4) - vocational
Czechia,,43.5,57.6,56.9,56.8,Percentage,Upper secondary and post-secondary non-tertiary education (levels 3 and 4) - vocational
Denmark,,27.6,27.1,26.9,26.5,Percentage,Upper secondary and post-secondary non-tertiary education (levels 3 and 4) - vocational
Germany,,43.1,42.1,41.5,41.3,Percentage,Upper secondary and post-secondary non-tertiary education (levels 3 and 4) - vocational
Estonia,,27.3,27.2,27.8,27.2,Percentage,Upper secondary and post-secondary non-tertiary education (levels 3 and 4) - vocational
Ireland,,13,13,12.1,11.8,Percentage,Upper secondary and post-secondary non-tertiary education (levels 3 and 4) - vocational
Greece,,16.4,16.8,17.2,16.9,Percentage,Upper secondary and post-secondary non-tertiary education (levels 3 and 4) - vocational
Spain,,9.6,9.6,9.7,9.8,Percentage,Upper secondary and post-secondary non-tertiary education (levels 3 and 4) - vocational
France,,28.9,29,28.7,28.1,Percentage,Upper secondary and post-secondary non-tertiary education (levels 3 and 4) - vocational
Croatia,,55.5,55.7,54.6,53.5,Percentage,Upper secondary and post-secondary non-tertiary education (levels 3 and 4) - vocational
Italy,,31.4,31.1,31.6,31.4,Percentage,Upper secondary and post-secondary non-tertiary education (levels 3 and 4) - vocational
Cyprus,,12.1,11.8,11.4,11,Percentage,Upper secondary and post-secondary non-tertiary education (levels 3 and 4) - vocational
Latvia,,28.7,27.8,26.8,26,Percentage,Upper secondary and post-secondary non-tertiary education (levels 3 and 4) - vocational
Lithuania,,28,27.2,27.7,26.3,Percentage,Upper secondary and post-secondary non-tertiary education (levels 3 and 4) - vocational
Luxembourg,,30.4,29.8,30.6,28.2,Percentage,Upper secondary and post-secondary non-tertiary education (levels 3 and 4) - vocational
Hungary,,41.2,41.5,41.6,41.1,Percentage,Upper secondary and post-secondary non-tertiary education (levels 3 and 4) - vocational
Malta,,14.4,15.1,16.7,16.2,Percentage,Upper secondary and post-secondary non-tertiary education (levels 3 and 4) - vocational
Netherlands,,27.2,26.7,26.8,26.8,Percentage,Upper secondary and post-secondary non-tertiary education (levels 3 and 4) - vocational
Austria,,42.4,41.9,40.4,39.6,Percentage,Upper secondary and post-secondary non-tertiary education (levels 3 and 4) - vocational
Poland,,46.6,46.2,42.8,41.4,Percentage,Upper secondary and post-secondary non-tertiary education (levels 3 and 4) - vocational
Portugal,,10.6,10.9,11.7,10.8,Percentage,Upper secondary and post-secondary non-tertiary education (levels 3 and 4) - vocational
Romania,,53.2,53.4,53,56.9,Percentage,Upper secondary and post-secondary non-tertiary education (levels 3 and 4) - vocational
Slovenia,,44.3,44.2,47.9,47.1,Percentage,Upper secondary and post-secondary non-tertiary education (levels 3 and 4) - vocational
Slovakia,,56.4,55.6,55.8,55.8,Percentage,Upper secondary and post-secondary non-tertiary education (levels 3 and 4) - vocational
Finland,,35.9,35.1,34.9,35,Percentage,Upper secondary and post-secondary non-tertiary education (levels 3 and 4) - vocational
Sweden,,23.3,22.8,22.4,21.7,Percentage,Upper secondary and post-secondary non-tertiary education (levels 3 and 4) - vocational
Iceland,,19.2,18.7,18.1,18.5,Percentage,Upper secondary and post-secondary non-tertiary education (levels 3 and 4) - vocational
Norway,,22.7,21.7,21.3,21.3,Percentage,Upper secondary and post-secondary non-tertiary education (levels 3 and 4) - vocational
Switzerland,,33.5,33.4,32.3,31,Percentage,Upper secondary and post-secondary non-tertiary education (levels 3 and 4) - vocational
United Kingdom,,,,,,Percentage,Upper secondary and post-secondary non-tertiary education (levels 3 and 4) - vocational
Montenegro,,,,,,Percentage,Upper secondary and post-secondary non-tertiary education (levels 3 and 4) - vocational
