TIME,2020-01,2020-02,2020-03,2020-04,2020-05,2020-06,2020-07,2020-08,2020-09,2020-10,2020-11,2020-12,2021-01,2021-02,2021-03,2021-04,2021-05,2021-06,2021-07,2021-08,2021-09,2021-10,2021-11,2021-12,2022-01,2022-02,2022-03,2022-04,2022-05,2022-06,2022-07,2022-08,2022-09,2022-10,2022-11,2022-12,2023-01,2023-02,2023-03,2023-04,2023-05,2023-06,2023-07,2023-08,2023-09,2023-10,2023-11,2023-12,2024-01,2024-02,2024-03,2024-04,2024-05,2024-06,2024-07,2024-08,2024-09,2024-10,2024-11,2024-12,2025-01,2025-02,2025-03,2025-04,2025-05,Class,Dataset
Croatia,7,6.8,7,7.7,7.6,7.4,7.4,7.5,7.6,8.3,8.6,8.9,9.3,9.3,8.9,8.2,7.6,6.9,6.7,6.6,6.4,6.6,6.7,6.8,7.2,7.2,7.1,6.7,6.3,6.1,6.4,6.5,6.4,6.8,7,7,7.3,7,6.6,6,5.5,5.5,5.7,5.8,5.6,5.9,5.9,6,6.1,6,5.6,5.1,4.6,4.4,4.7,4.7,4.6,4.8,5,5.1,5.3,5.3,5,4.4,,Percentage of population in the labour force (Non Seasonal Adjusted),Percentage of population in the labour force (Non Seasonal Adjusted)
Italy,10.5,10,7.6,6.4,8,9.4,10.6,9.6,10.4,10.5,9,9.6,10.9,10.7,10.4,10.1,9.6,9.2,8.8,8.7,9,9.7,8.8,8.8,9.1,8.7,8.5,8.2,7.8,7.8,7.4,7.7,7.9,8.1,7.8,7.9,8.4,8.3,8.2,8,7.5,7,7.5,6.9,7.5,8.1,7.6,7,7.6,8.1,7.4,6.8,6.5,6.7,5.9,5.3,5.6,5.8,5.8,6.7,7.1,6.6,6.7,6.1,,Percentage of population in the labour force (Non Seasonal Adjusted),Percentage of population in the labour force (Non Seasonal Adjusted)
Cyprus,7.5,7.5,7.3,7.1,6.9,7.2,7.9,8.4,7.7,7.6,7.9,8.1,8.3,8.6,8.3,7.5,7.9,8.2,7.1,6.9,5.3,5.2,6.5,6.5,6.3,6.3,6.3,6.2,6,6.7,6.7,6.5,5.2,5.1,7,7.1,6.8,6.8,6.3,5.6,5.5,6,6.1,5.9,4.6,4.4,6,6.1,6,5.8,5.5,4.7,4.2,5,5.1,4.8,3.5,3.5,5,5.4,5.5,5.2,4.5,3.3,,Percentage of population in the labour force (Non Seasonal Adjusted),Percentage of population in the labour force (Non Seasonal Adjusted)
Latvia,7.3,7.6,7.9,8.5,8.6,8.6,8.6,8.4,8.1,7.8,7.8,7.9,8,8.1,8.1,8,7.8,7.8,7.6,7.2,6.8,6.9,7.2,7.4,7.4,7.3,7.1,6.8,6.5,6.6,6.9,6.9,6.8,6.7,6.7,6.6,6.4,6.4,6.3,6.3,6.4,6.5,6.5,6.4,6.4,6.6,6.8,7.1,7.2,7.3,7.3,7.1,6.9,6.8,6.8,6.7,6.5,6.6,6.8,7.2,7.9,8.3,8.2,7.9,,Percentage of population in the labour force (Non Seasonal Adjusted),Percentage of population in the labour force (Non Seasonal Adjusted)
Lithuania,6.8,7,7.6,8.1,8.6,9,8.7,9.3,9.9,8.8,8.9,9.5,8,7.5,6.9,7.2,7.6,7.5,7.2,6.6,6.3,6.8,6.8,7.3,6.6,6.3,6.2,5.5,5.1,5.2,5.7,5.7,5.8,6,6.3,7,7.8,7.8,7.7,6.9,5.6,5.4,6.4,6.2,6.2,6.7,7.3,8.5,8.4,8.1,8.1,7,6.7,7.2,6.9,7,6.6,6.1,6.5,7,7.2,6.9,6.5,6,,Percentage of population in the labour force (Non Seasonal Adjusted),Percentage of population in the labour force (Non Seasonal Adjusted)
Luxembourg,6,6.1,6.7,7.4,7.4,7.2,7.1,6.6,6.4,6.3,6.3,6.8,6.7,6.6,6.2,5.8,5.4,5,5.1,4.9,4.8,4.8,4.7,5.1,4.7,4.7,4.5,4.3,4.2,4.2,4.4,4.5,4.7,4.9,4.9,5.2,5.1,5.1,4.9,4.8,4.7,4.8,5,5.1,5.4,5.7,5.9,6.1,6.2,6.2,6,6,6,5.9,6.3,6.3,6.4,6.6,6.7,6.9,6.9,6.9,6.6,6.5,,Percentage of population in the labour force (Non Seasonal Adjusted),Percentage of population in the labour force (Non Seasonal Adjusted)
Hungary,3.2,3.4,3.5,4.3,4.7,4.9,4.5,4.3,4.3,4.1,4.1,4.2,4.4,4.4,4.4,4.2,4.1,4,4,3.9,3.8,3.8,3.8,3.8,3.7,3.7,3.7,3.6,3.5,3.5,3.6,3.6,3.7,3.8,3.8,3.8,4,4.1,4.1,4,4,3.9,4,4.1,4.1,4.2,4.2,4.3,4.5,4.4,4.4,4.4,4.3,4.2,4.3,4.4,4.5,4.5,4.5,4.3,4.4,4.5,4.3,4.4,,Percentage of population in the labour force (Non Seasonal Adjusted),Percentage of population in the labour force (Non Seasonal Adjusted)
Malta,3.9,3.7,4.1,4.7,4.9,5.1,5.4,5.6,5.5,5.4,5.1,4.8,4.4,4.2,3.9,3.7,3.8,3.9,3.8,3.8,3.7,3.4,3.2,3.4,3.4,3.7,3.6,3.7,3.8,3.7,3.5,3.3,3.3,3.3,3.2,3.2,3.2,3.3,3.5,3.8,3.8,3.7,3.7,3.8,3.6,3.3,3.1,3,3.3,3.3,3.4,3.3,3.3,3.1,3,3.1,3,2.9,2.8,2.9,2.8,2.7,2.7,2.7,,Percentage of population in the labour force (Non Seasonal Adjusted),Percentage of population in the labour force (Non Seasonal Adjusted)
Netherlands,4.3,4.2,4.3,4.6,4.6,5.3,5.3,5.2,5.4,5.3,5,4.7,4.9,4.9,4.7,4.5,4.3,4.2,3.8,4,4.2,4,3.6,3.6,3.8,3.7,3.5,3.3,3.2,3.5,3.4,3.7,3.9,3.7,3.5,3.3,3.7,3.7,3.6,3.3,3.5,3.5,3.5,3.6,3.8,3.6,3.4,3.3,3.8,3.9,3.7,3.6,3.5,3.7,3.5,3.7,3.9,3.7,3.5,3.5,4,4.1,3.9,3.7,3.6,Percentage of population in the labour force (Non Seasonal Adjusted),Percentage of population in the labour force (Non Seasonal Adjusted)
Austria,4.8,5.5,5.4,6.1,6.8,7.4,6.3,6,6,5.7,5.7,6.6,8.4,8.2,7.3,7.3,6.5,5.8,5.6,5.6,4.6,5.5,4.9,4.7,5.3,5.7,4.8,4.4,4.4,4,4.3,4.9,4.9,4.3,5.3,4.8,5.7,5.8,5,5.2,4.4,4.7,5.4,5.1,5.1,4.8,4.7,5.4,5.5,5.5,5.4,4.9,5.1,4.8,4.7,5.3,5.4,5.1,5,5.4,6,6.2,6,5.5,,Percentage of population in the labour force (Non Seasonal Adjusted),Percentage of population in the labour force (Non Seasonal Adjusted)
Poland,3.1,3.1,3,3.1,3.1,3.2,3.3,3.3,3.2,3,3,3.3,3.9,4.1,4.1,3.8,3.5,3.3,3.2,3.1,3,2.9,2.8,2.9,3.2,3.2,3,2.7,2.6,2.6,2.8,2.9,3,2.9,2.9,2.8,3,3,2.8,2.6,2.5,2.5,2.6,2.7,2.9,3,3.1,3.1,3.3,3.2,3,2.7,2.6,2.7,2.9,3,3,2.8,2.7,2.9,3.3,3.5,3.4,3.3,,Percentage of population in the labour force (Non Seasonal Adjusted),Percentage of population in the labour force (Non Seasonal Adjusted)
Portugal,7.2,6.9,6.1,5.7,5.7,7.1,7.8,8.2,8.2,7.9,7.4,7.1,7.3,7.2,6.9,7.2,7,6.7,6.4,6.4,6.6,6.5,6.4,6.2,6.2,6.1,6.1,6.1,6,5.8,5.8,5.9,6.2,6.2,6.7,7,7.3,7.2,7,6.6,6.2,5.9,6,6.1,6.5,6.7,6.6,6.7,6.8,6.8,6.6,6.4,6.1,6.1,6.1,6.1,6.5,6.7,6.7,6.6,6.7,6.6,6.5,6.2,,Percentage of population in the labour force (Non Seasonal Adjusted),Percentage of population in the labour force (Non Seasonal Adjusted)
Romania,4.6,5.3,5.8,6.3,6.5,6.6,6.5,6.3,6.1,6.1,6.3,6.5,6,6.2,6.1,5.4,5.1,4.8,5.3,5.4,5.3,5.7,5.8,6.2,6.2,6.1,5.8,5.4,5.4,5.1,5.4,5.3,5.4,5.7,5.8,5.9,5.8,5.6,5.6,5.4,5.4,5.4,5.5,5.3,5.3,5.7,5.8,6,5.5,5.2,5.1,5,5.1,4.9,5.7,5.5,5.6,5.8,5.7,6.1,6.2,6.2,6.3,5.7,,Percentage of population in the labour force (Non Seasonal Adjusted),Percentage of population in the labour force (Non Seasonal Adjusted)
Slovenia,4.5,4.6,4.6,5.1,5.2,5.1,5.2,5.3,4.9,4.9,5,5.4,6,5.8,5.2,4.6,4.3,4.2,4.5,4.6,4.5,4.7,4.5,4.4,4.5,4.3,4.2,4.3,4.3,4.2,4.2,4.1,3.8,3.6,3.4,3.4,3.8,3.8,3.7,3.6,3.6,3.7,3.9,4,3.7,3.5,3.3,3.3,3.6,3.5,3.3,3.2,3.3,3.7,4.4,4.6,4.3,3.8,3.4,3.4,4,4.1,4,3.8,,Percentage of population in the labour force (Non Seasonal Adjusted),Percentage of population in the labour force (Non Seasonal Adjusted)
Slovakia,6,6,5.8,6.4,6.6,6.7,7.2,7.2,7.1,7,6.9,7,7.1,7.1,7.1,7,6.9,6.9,6.8,6.7,6.7,6.6,6.5,6.5,6.5,6.4,6.2,6.2,6.1,6.1,6.1,6,6.1,6,6,6.1,6.3,6.2,6,5.8,5.6,5.7,5.9,5.9,5.9,5.7,5.6,5.6,5.8,5.6,5.5,5.2,5.1,5.2,5.3,5.4,5.4,5.2,5.2,5.2,5.4,5.4,5.3,5.2,,Percentage of population in the labour force (Non Seasonal Adjusted),Percentage of population in the labour force (Non Seasonal Adjusted)
Finland,7.1,6.9,7.3,8,10.9,7.7,7.5,7.8,7.5,7.4,7,7.6,8.8,8.3,8.2,9.6,10.3,7.6,7.1,6.5,7,6,6,6.7,7.5,6.7,7,6.9,7.9,6.8,6.6,6.7,6.7,5.8,5.9,6.7,7.6,6.7,6.9,7.9,9,7.2,6.9,6.7,7,6.8,6.8,7.1,8.3,7.8,9,9.2,10.2,8.3,7.9,7.5,8.1,8.1,8.1,8.1,9.5,9.4,10.1,10,10.5,Percentage of population in the labour force (Non Seasonal Adjusted),Percentage of population in the labour force (Non Seasonal Adjusted)
Sweden,7.7,8.3,7.3,8.5,9.2,10,9.1,9,8.4,8,7.8,8.5,9.4,9.7,10.2,9.4,9.8,10.5,8,8.6,8.4,7.7,7.6,7.4,8.4,7.9,8.2,8.2,8.5,8.6,6.5,6.6,6.5,7.1,6.4,6.9,7.6,8.2,7.7,7.5,7.9,9.3,6.2,7.7,7.7,7.4,7.1,7.7,8.5,8.5,9.2,8.9,8.7,9.4,7.7,7.9,8.2,7.8,7.4,8,10.4,9.4,8.5,8.9,9.7,Percentage of population in the labour force (Non Seasonal Adjusted),Percentage of population in the labour force (Non Seasonal Adjusted)
Iceland,4.1,6,2.8,7.8,11.3,4.1,6.1,6.5,4.3,8.3,7.1,6.6,8.1,5.9,8.3,10.7,8,4.7,4,4.9,2.8,5.3,3.2,4.3,3.2,4.1,4.5,3.7,5.7,3.1,3.1,3.5,2.6,2.6,4,2.8,3,4.9,3.3,3,5.5,2.1,2.4,3.2,3.4,3.1,2.7,3.8,4.3,3.5,4.4,4.2,4,2.3,1.9,2.4,4.5,2.9,2.2,3.7,5.2,6,3.7,4,,Percentage of population in the labour force (Non Seasonal Adjusted),Percentage of population in the labour force (Non Seasonal Adjusted)
Norway,4.1,3.6,3.6,4,5,5.3,5.7,5.3,5.4,5.4,5.1,4.5,5.1,5.4,4.5,5.1,5.6,4.8,4.8,4,3.8,3.6,3.8,3,3.2,3.5,3.2,2.6,3.9,3.4,2.6,3.5,3.5,3.1,3.1,3.2,3.5,3.9,3.8,3.5,3.2,3.8,3.4,3.7,3.6,3.6,3.7,3.3,4.5,3.5,4.2,4.3,4.2,4.3,3.6,4.1,4.1,4,3.6,3.9,3.7,4,4.7,4.4,,Percentage of population in the labour force (Non Seasonal Adjusted),Percentage of population in the labour force (Non Seasonal Adjusted)
Switzerland,4.4,4.5,4.6,4.5,4.5,4.7,5.2,5.3,5.2,4.8,4.8,5.1,5.7,5.9,5.7,5.2,4.9,4.8,5.1,5.1,4.9,4.3,4.2,4.3,4.5,4.6,4.4,4.1,3.9,3.9,4,4.1,4,3.9,4,4.1,4.2,4.2,4.1,3.8,3.7,3.7,4.1,4.3,4.4,4,3.9,4.1,4.3,4.3,4.2,4,3.9,4,4.6,4.9,4.8,4.3,4.3,4.5,4.7,4.7,4.7,,,Percentage of population in the labour force (Non Seasonal Adjusted),Percentage of population in the labour force (Non Seasonal Adjusted)
United Kingdom,3.9,3.9,3.8,3.7,3.8,4.1,4.6,4.9,5.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Percentage of population in the labour force (Non Seasonal Adjusted),Percentage of population in the labour force (Non Seasonal Adjusted)
